timestamp,searchType,toggleEnabled
2019-04-15 23:22:36.937,lastName,1
2019-04-15 23:22:36.937,lastName,1
2019-04-15 23:22:42.065,lastName,1
2019-04-15 23:22:47.386,firstName,1
2019-04-15 23:22:48.282,firstName,1
2019-04-15 23:22:48.847,firstName,1
2019-04-15 23:22:49.048,firstName,1
2019-04-15 23:22:49.233,firstName,1
2019-04-15 23:22:49.416,firstName,1
2019-04-15 23:22:49.743,firstName,1
2019-04-15 23:22:50.016,firstName,1
2019-04-15 23:22:50.174,firstName,1
2019-04-15 23:22:50.641,firstName,1
2019-04-15 23:22:50.965,firstName,1
2019-04-15 23:22:51.174,firstName,1
2019-04-15 23:22:51.465,firstName,1
2019-04-15 23:22:51.628,firstName,1
2019-04-15 23:22:51.967,firstName,1
2019-04-15 23:22:52.272,firstName,1
2019-04-15 23:22:52.434,firstName,1
2019-04-15 23:22:52.736,firstName,1
2019-04-15 23:22:53.071,firstName,1
2019-04-15 23:22:53.393,firstName,1
2019-04-16 02:43:44.475,lastName,0
2019-04-16 02:43:44.583,lastName,0
2019-04-16 02:43:44.676,lastName,0
2019-04-16 02:55:57.469,city,1
2019-04-16 02:55:57.469,, findOwnerByLocation
2019-04-16 02:56:01.758,lastName,0
2019-04-16 02:56:19.772,city,1
2019-04-16 02:56:19.772,, findOwnerByLocation
2019-04-16 02:56:30.240,lastName,0
2019-04-16 02:57:01.555,city,1
2019-04-16 02:57:01.556,, findOwnerByLocation
2019-04-16 02:57:02.623,city,1
2019-04-16 02:57:02.623,, findOwnerByLocation
2019-04-16 02:57:03.698,city,1
2019-04-16 02:57:03.698,, findOwnerByLocation
2019-04-16 02:57:04.719,city,1
2019-04-16 02:57:04.719,, findOwnerByLocation
2019-04-16 02:57:11.547,city,1
2019-04-16 02:57:11.547,, findOwnerByLocation
2019-04-16 02:57:12.430,lastName,0
2019-04-16 02:57:14.933,city,1
2019-04-16 02:57:14.933,, findOwnerByLocation
2019-04-16 02:57:19.233,city,1
2019-04-16 02:57:19.233,, findOwnerByLocation
2019-04-16 02:57:22.279,lastName,0
2019-04-16 03:03:36.960,lastName,0
2019-04-16 03:05:14.454,firstName,1
2019-04-16 03:05:17.198,lastName,1
2019-04-16 03:05:23.435,firstName,1
2019-04-16 03:05:29.275,firstName,1
2019-04-16 03:09:55.861,lastName,1
2019-04-16 03:09:55.866,lastName,1
2019-04-16 03:09:55.895,lastName,1
